Assembly same,,,,,Assembly different,,,,,Assembly tied,,,
2.41876,C6E9S4,3rko,escherichia_coli,,10660.6,P0A6F5,1aon,escherichia_coli,,483.045,P0A6H5,1g4a,escherichia_coli
19.1169,O32583,1zud,escherichia_coli,,7208.12,P0A6F9,1aon,escherichia_coli,,87.4801,P0A7B8,1g4a,escherichia_coli
1137.41,P0A2K1,1a50,salmonella_typhimurium,,531.622,P0A9H9,1kmi,escherichia_coli,,2211.55,P0A836,1cqi,escherichia_coli
840.612,P0A734,3r9j,escherichia_coli,,657.147,P0ABD8,4hr7,escherichia_coli,,448.595,P0A855,2hqs,escherichia_coli
3595.11,P0A786,1acm,escherichia_coli,,394.336,P0AC41,1nek,escherichia_coli,,33.7371,P0A8Q0,1kf6,escherichia_coli
2026.53,P0A7F3,1acm,escherichia_coli,,297.556,P0AE67,1kmi,escherichia_coli,,10.8579,P0A8Q6,1lzw,escherichia_coli
8.17424,P0A8S9,2avu,escherichia_coli,,397.754,P24182,4hr7,escherichia_coli,,3754.95,P0A8T7,3lu0,escherichia_coli
6.08655,P0AAJ3,1kqf,escherichia_coli,,,,,,,2600.77,P0A8V2,3lu0,escherichia_coli
6.49673,P0AAM1,4gd3,escherichia_coli,,,,,,,301.072,P0A912,2hqs,escherichia_coli
1.86673,P0ABY7,2avu,escherichia_coli,,,,,,,281.925,P0ABH9,1lzw,escherichia_coli
677.206,P0AEZ3,3r9j,escherichia_coli,,,,,,,90.0597,P0AC47,1kf6,escherichia_coli
39.369,P0C077,4fxe,escherichia_coli,,,,,,,10.6671,P0AEJ6,3any,escherichia_coli
40.9029,P0C079,4fxe,escherichia_coli,,,,,,,1.83074,P0AES2,4gyp,escherichia_coli
53.8522,P22524,3euh,escherichia_coli,,,,,,,35.3171,P0AFX9,3m4w,escherichia_coli
6.24735,P23873,2wiu,escherichia_coli,,,,,,,53.01,P0AGB6,1or7,escherichia_coli
6.03815,P23874,2wiu,escherichia_coli,,,,,,,1950.06,P0AGE9,1cqi,escherichia_coli
36.7232,P30138,1zud,escherichia_coli,,,,,,,67.9474,P30748,1fm0,escherichia_coli
4.05836,P45530,2d1p,escherichia_coli,,,,,,,56.2452,P30749,1fm0,escherichia_coli
5.68647,P45531,2d1p,escherichia_coli,,,,,,,42.6043,P69346,2a6q,escherichia_coli
8.08922,P45532,2d1p,escherichia_coli,,,,,,,5.53823,P69739,3uqy,escherichia_coli
13.4279,P60293,3euh,escherichia_coli,,,,,,,0.229834,Q46915,4gyp,escherichia_coli
293.638,P69054,1nek,escherichia_coli,,,,,,,,,,
4.23031,Q46896,4p6i,escherichia_coli,,,,,,,,,,
64.0665,Q47150,4q2u,escherichia_coli,,,,,,,,,,
